Training-set,CASF-2016,PDBbind2017-2020,CSAR
3ijg,2qbq,6np2,
3ijy,2qbr,6p3p,
3ijz,2qe4,5y3n,
3ik1,2qnq,5orr,
3ik3,2r9w,5fun,
4k4f,2v00,6hr2,
4k5l,2v7a,5svi,
4k5m,2vkm,6afi,
4k5n,2vvn,3jvs,
4k5o,2vw5,5ab1,
4k5y,2w4x,6fa5,
4k5z,2w66,6c67,
4k60,2wbg,6j9y,
4k63,2wca,6dif,
4k64,2weg,6olx,
4k66,2wer,5jq5,
4k67,2wn9,5nau,
4k69,2wnc,4y38,
4k6t,2wtv,5elz,
4k6u,2wvt,6grp,
4k6v,2x00,5hv1,
4k6w,2xb8,6cd8,
4k6y,2xbv,5wrs,
4k6z,2xdl,6fhq,
4k72,2xii,6qs5,
4k75,2xj7,5ee8,
4k76,2xnb,6e8x,
4k78,2xys,6arm,
4k8a,2y5h,5hi7,
4k8o,2yfe,3f80,
4k8s,2yge,6udu,
4k9g,2yki,5edl,
4k9h,2ymd,5w0f,
4kab,2zb1,5trs,
4kai,2zcq,6ne5,
4kb7,2zcr,5vsb,
4kb8,2zda,5dtq,
4kba,2zy1,6py0,
4kbc,3acw,5xxf,
4kbi,3ag9,6qsz,
2lct,3ao4,5oxm,
2lgf,3arp,5x28,
2lh8,3arq,6ten,
2lha,3aru,6d1h,
2liq,3arv,5lvr,
2lk1,3ary,5iyy,
2lkk,3b1m,6idb,
2lko,3b5r,5iis,
2ll6,3b27,6ge7,
2ll7,3b65,6e3m,
2llo,3b68,6an1,
2llq,3bgz,6qmt,
2lnw,3bv9,6g2c,
2lo6,3cj4,5e2n,
2loz,3coy,6d40,
2lp8,3coz,1w3k,
2lpr,3d4z,2brb,
2lsk,3d6q,5orw,
2lsp,3dd0,6m9d,
2lsr,3dx1,2zy1,
2lsv,3dx2,5obg,
2lto,3dxg,6dd0,
2ltv,3e5a,5fh6,
2ltw,3e92,6r1c,
2ltx,3e93,6hrz,
2lty,3ebp,6a1c,
2ltz,3ehy,6eww,
2lwi,3ejr,5wjj,
2ly0,3f3a,5wlo,
2lya,3f3c,5lbq,
2lyb,3f3d,5g5f,
2lyw,3f3e,5q16,
2lzg,3fcq,5h22,
2m0o,3fur,6dq5,
2m0u,3fv1,5w8i,
2m0v,3fv2,5ul5,
2m3m,3g0w,6hv4,
2m3o,3g2n,5ftg,
3wyj,3g2z,6ewe,
3wyk,3g31,5ok3,
3wyl,3gbb,5u5h,
3wym,3gc5,5n1p,
3wyx,3ge7,4wz6,
3wyy,3gnw,6qxs,
3wzj,3gr2,5fwa,
3wzk,3gv9,5zeq,
3wzp,3gy4,6bto,
3wzq,3ivg,6ipj,
3wzu,3jvr,6o3w,
3zbf,3jvs,3rsx,
3zc6,3jya,6n96,
3zcw,3k5v,2n14,
3zcz,3kgp,5ltn,
3zeb,3kr8,5tzx,
3zep,3kwa,5y0f,
3zev,3l7b,5ijj,
3zh8,3lka,5mi7,
3zha,3mss,5iub,
3zhf,3myg,6f3i,
3zhz,3n7a,5awt,
3zim,3n76,6ps6,
3zj8,3n86,6rvl,
3zjc,3nq9,4lqg,
3zjt,3nw9,5otr,
1a86,3nx7,5l6o,
1au2,3o9i,5q0o,
1b42,3oe4,5hbh,
1bji,3oe5,6bjo,
1bux,3ozs,6sd9,
1cj1,3ozt,5dh3,
1d4t,3p5o,5kde,
1ek2,3prs,5l7f,
1ezf,3pww,5ofi,
1fq4,3pxf,6qtq,
1g4k,3pyy,6afa,
1gmy,3qgy,5ixf,
1h1h,3qqs,6gu7,
1h79,3r88,5ewy,
1hqh,3rlr,5uci,
1i8i,3rr4,5aqt,
1is0,3rsx,5j1x,
1jm4,3ryj,5eth,
1rbo,3syr,5gut,
1rdi,3tsk,5x9o,
1rdj,3twp,5ekx,
1rdl,3u5j,5oq6,
1rdn,3u8k,5i12,
1rdt,3u8n,5u5l,
1re1,3u9q,5w8j,
1re8,3udh,5nxw,
1rej,3ueu,5uyu,
1rek,3uev,6nsq,
1rev,3uew,5lj1,
1rgj,3uex,5ij7,
1rgk,3ui7,6cdl,
1rgl,3uo4,5urj,
1rhj,3up2,6nj0,
1rhk,3uri,6d50,
1rhm,3utu,5h21,
1rhq,3uuo,5esq,
1rhr,3wtj,6h4o,
1rhu,3wz8,5lj0,
1rin,3zdg,6g85,
1riw,3zso,6g37,
1rlp,3zsx,3zdg,
1rlq,3zt2,5usq,
1rm8,4abg,6pyc,
4rsp,4agn,6f8t,
4rss,4agp,5g60,
4rt0,4agq,6qi7,
4rt1,4bkt,6aeh,
4ruu,4cig,5kqf,
4rvk,4ciw,6gn1,
4rvl,4cr9,5ne5,
4rvm,4cra,5ien,
4rvt,4crc,6k0j,
4rwk,4ddh,6f6n,
4rwl,4ddk,5fus,
4rx5,4de1,5lvn,
4rx7,4de2,6bsm,
4rx8,4de3,6cea,
4rx9,4djv,5svy,
4rxa,4dld,6qft,
4rxc,4dli,5ovi,
4rxd,4e5w,5mkx,
4rxe,4e6q,5iw0,
4rxh,4ea2,6i78,
4rxz,4eky,5htz,
4ryc,4eo8,6npp,
4ryg,4eor,6qmj,
4ryl,4f2w,5wre,
4rz1,4f3c,5lkr,
4s2i,4f09,6nti,
4s3e,4f9w,5n0e,
4s3f,4gfm,6p1l,
4tju,4gid,6i68,
4tjw,4gkm,6fgg,
4tjy,4gr0,5i9i,
4tk0,4hge,10gs,
3rwg,4ih5,6mvu,
3rwh,4ih7,5v0n,
3rwi,4ivb,6mul,
3rwj,4ivc,4u3f,
3rwq,4ivd,6csq,
3rx5,4j3l,6i97,
3rx7,4j21,5icz,
3rx8,4j28,5e8z,
3rxa,4jfs,5lz8,
3rxb,4jia,5i3w,
3rxd,4jsz,5jn9,
3rxe,4jxs,6egw,
3rxf,4k18,5ekn,
3rxg,4k77,6ceh,
3rxh,4kz6,6hgv,
3rxi,4kzq,5d75,
3rxj,4kzu,5e0g,
3rxk,4llx,6fa4,
3rxl,4lzs,5j7j,
3rxm,4m0y,2weg,
3rxo,4m0z,6h8s,
3rxp,4mgd,5nwg,
3ry8,4mme,6ema,
3ryw,4ogj,4yxd,
3rz3,4owm,1sln,
3rz9,4pcs,6cdo,
3rzb,4qac,5h15,
3rzi,4qd6,6cn5,
3s00,4rfm,5k0i,
3s0j,4tmn,6fvo,
3s0n,4twp,6rmm,
3s0o,4ty7,6dug,
3s1g,4u4s,6rfi,
2zb0,4w9c,5a09,
2zbk,4w9h,6hsh,
2zdt,4w9i,6nzp,
2zdx,4w9l,6ipl,
2zdz,4wiv,5uwp,
2ze1,4x6p,5d0r,
2zfi,5a7b,6fvn,
2zg1,5aba,5fas,
2zg3,5c2h,6dpy,
2zga,5c28,6hrt,
2zgm,5dwr,6eeh,
2zhd,5tmn,6c5k,
2zif,,5ux4,
2zir,,5uwk,
2zis,,5tri,
2zit,,5gid,
2zjf,,6qcj,
2zju,,6o8u,
2zjv,,5ll5,
2zlf,,1o5b,
2zlg,,5yjy,
2zm1,,6gnm,
2zm3,,5wle,
2zmd,,5h1v,
2zmj,,5n1v,
2zns,,6hvw,
2znt,,5znp,
2znu,,4abg,
2zo3,,5oh1,
2zof,,5o9h,
2zoq,,6h33,
2zp0,,5ow1,
2zq1,,5drr,
2zsc,,5uc1,
2zu3,,6br3,
2zu4,,5kej,
2zu5,,6ueg,
1yvx,,5uwj,
1yvz,,6mo0,
1yw2,,5kx8,
1yw7,,5a8x,
1yw8,,6mny,
1ywh,,6mzq,
1ywi,,5l15,
1ywr,,5gow,
1yxd,,5orl,
1yy4,,5eci,
1yy6,,6g5j,
1yye,,6n0p,
1yyr,,5gub,
1yys,,6mhb,
1yyy,,6ocz,
1yz3,,5hls,
1z1r,,6cw4,
1z2b,,6beb,
1z34,,6dys,
1z3c,,5i0l,
1z3j,,6nwl,
4ehg,,5ue4,
4ehm,,5ox5,
4ehr,,6bij,
4ehv,,5j20,
4ej2,,5oul,
4ejf,,6f8b,
4ejn,,5ut6,
4eke,,5dxh,
4ekg,,6h4v,
4eki,,6eds,
4el9,,6mnv,
4elb,,6o68,
4elc,,5awu,
4ele,,4pxm,
4em7,,5nyz,
4emt,,6r1b,
4emv,,6o5t,
4enx,,5sxn,
4eny,,6ul8,
4eo4,,5lto,
4eoi,,6c42,
4eok,,4yc8,
4eol,,6qs1,
3mxr,,6c5t,
3mxs,,6qlt,
3mxy,,5nb6,
3my1,,3ag9,
3my5,,6do5,
3mz3,,6i3s,
3n0h,,5eh5,
3n1v,,5vo6,
3n1w,,6cn6,
3n23,,6dh5,
3n2c,,1ydt,
3n2e,,6hqy,
3n3l,,5ikb,
3n45,,6czu,
3n46,,6oy2,
3n49,,5nw0,
3n4c,,5szc,
3n4l,,5mqy,
3n51,,6mt5,
3n5e,,5d6y,
3n5h,,6fsy,
3n5j,,6gxe,
3n5k,,5nk3,
3n5u,,5w5k,
3n6k,,6oxl,
3n75,,6d8e,
3n7r,,6hq3,
3n7s,,5eqq,
3n87,,6g97,
3n8n,,5ekg,
3nal,,6c7i,
3nam,,5vsk,
3nan,,6ajr,
3nba,,5muc,
3nc4,,5tgy,
3nc9,,3l4u,
3ncg,,6sdd,
3ncq,,6d4o,
3ncr,,5gp7,
3ncz,,5kzq,
4o77,,5qaa,
4o78,,6ftw,
4o7a,,5e8w,
4o7b,,5txy,
4o7c,,6c98,
4o7d,,5my8,
4o7e,,6joe,
4o7f,,6qyp,
4o91,,5mhq,
4o9s,,6dzx,
4oar,,6fn9,
4oas,,6i8t,
4oaz,,6hrp,
4ob0,,6jtc,
4ob1,,5kh3,
4ob2,,3zt2,
4oba,,5yvx,
4obo,,5eyk,
4obp,,5w7u,
4obq,,4xg6,
4obv,,6ooz,
4obz,,6peg,
4oc4,,5qak,
4oc6,,5uex,
4occ,,6mub,
1kdy,,5edu,
1kdz,,6g2r,
1ke0,,5o3r,
1ke1,,6e7s,
1ke2,,5jyy,
1ke3,,5yum,
1ke5,,5vse,
1ke6,,6me1,
1ke7,,6m9t,
1ke8,,5oq7,
1ke9,,6s56,
1kf0,,6a93,
1kf6,,5zhj,
1kfy,,5y8z,
1kkq,,5ytu,
1kl3,,5tzd,
1kl5,,5fnq,
1klg,,5m25,
1kll,,5tuo,
1klu,,6ouv,
1kmv,,6nad,
1kna,,5sxm,
1kne,,5th4,
1kqb,,5go2,
1kr3,,5k48,
1kti,,5nw1,
1ktt,,5i5x,
1kv2,,5zee,
1kvo,,5u7l,
1kwq,,6fky,
1kwr,,6mxe,
1kyn,,6g4z,
1kz8,,5wxg,
1l0a,,5een,
1l2s,,5yyf,
1l2z,,6ahs,
1l5q,,6qpl,
1l5r,,5n3v,
1l5s,,5jgq,
1l6s,,5a0a,
4xyf,,5ml8,
4xyn,,1oyt,
4y16,,5id1,
4y29,,2vvn,
4y2b,,4zj8,
4y2j,,6h36,
4y2p,,4yb7,
4y2s,,6ajx,
4y2t,,5tbe,
4y2u,,6ma4,
4y2v,,6bw4,
4y2x,,5h1t,
4y2y,,6uyz,
4y32,,5in9,
4y3b,,5j3v,
4y46,,6udi,
4y4v,,5eq0,
4y5h,,6gzy,
4y5s,,5m4i,
4y62,,5o1g,
4y63,,6cv8,
4y64,,5ih2,
4y67,,5lgn,
4y6m,,6axb,
4y6p,,5uln,
4y6r,,5km5,
4y6s,,5ech,
4y73,,6gnw,
4y7r,,5jf7,
4y83,,5t9w,
4y85,,5yj8,
4y87,,5ny6,
4y8c,,4eo8,
4y8d,,6k4x,
4y8y,,5k4j,
4y8z,,6eo9,
4y94,,4y4g,
4ya8,,6hdq,
4yab,,5dus,
4yad,,5t1t,
2w1e,,5vkf,
2w1f,,5os5,
2w1g,,5trf,
2w1h,,5lay,
2w1i,,6e7m,
2w2i,,5ehg,
2w2u,,6alz,
2w3i,,6odz,
2w3k,,6n3z,
2w3l,,2j78,
2w3o,,5j41,
2w4i,,6bbs,
2w54,,6n94,
2w5i,,6baw,
2w68,,6ib0,
2w6c,,5zdc,
2w6m,,5xiw,
2w6n,,5lwd,
2w6o,,6g3y,
2w6p,,5n1x,
2w6q,,5tex,
2w6t,,6rj5,
2w6u,,3coz,
2w6z,,5klr,
2w70,,5f62,
2w71,,5fhm,
2w73,,5kbg,
2w76,,6c2t,
2w77,,5ksu,
2w78,,6g9i,
2w7x,,6k9u,
2w85,,4msn,
2w87,,6fzx,
2w8f,,4ztr,
2w8g,,6gcx,
4bdt,,6f7c,
4bea,,6h76,
4bek,,5ldm,
4bfd,,5t8o,
4bfp,,5hk9,
4bfr,,5mlj,
4bfy,,2vw5,
4bfz,,5ehw,
4bg1,,6hmg,
4bg6,,6i96,
4bgg,,6e3s,
4bgh,,6f6r,
4bgk,,6hkz,
4bgm,,5zhm,
4bgx,,5ix1,
4bgy,,6dkg,
4bh3,,5g2g,
4bh4,,5wzu,
4bhf,,6stl,
4bhi,,5fah,
4bhn,,6g98,
4bhz,,5hmk,
4bi0,,6e7u,
4bi1,,6pic,
4bi2,,6chl,
4bib,,5fdi,
4bic,,5aip,
4bid,,5lgt,
4bie,,6q3y,
4bio,,6afc,
4bis,,6cvw,
4bj9,,6r1a,
4bjb,,6aom,
4bjc,,5n17,
4bjx,,5zef,
4bkj,,5ei8,
4bky,,4zx9,
4bkz,,6hgy,
4blb,,5ml6,
4bnt,,6ayh,
3db6,,5hl9,
3db8,,5fpu,
3dba,,4gid,
3dbd,,6aji,
3dbs,,5vlr,
3dc2,,5wfc,
3dcq,,5k5n,
3dcr,,5jgi,
3dcs,,6fgq,
3dct,,5tg1,
3dcv,,5enk,
3dcw,,5vd3,
3dda,,6jav,
3ddb,,5lxp,
3ddp,,5lca,
3ddq,,6k05,
3ddu,,5ou1,
3deh,,5ml4,
3dei,,6oin,
3dej,,5nut,
3dek,,5ylt,
3dg8,,5uxn,
3dga,,5aba,
3dgl,,5ku3,
3dgn,,5a3x,
3dgq,,5y0z,
3dhk,,5vqu,
3di6,,6g93,
3diw,,5gic,
3djf,,6flg,
3dkf,,6bs3,
3dkg,,6d6u,
3dkj,,5if4,
3dla,,5ye9,
3dm6,,5eko,
3dng,,4k18,
3dnj,,5zla,
4hcu,,6fdq,
4hcv,,5jao,
4hcz,,6rrm,
4hdc,,5i3m,
4he9,,6dtx,
4hej,,1u33,
4heu,,6n69,
4hev,,6e7x,
4hfz,,5l9g,
4hg7,,5ovg,
4hgc,,5ivt,
4hgl,,5ckr,
4hgs,,5kkr,
4hgt,,6eij,
4hhy,,5tpg,
4hhz,,6g35,
4hiq,,6rnu,
4his,,6d28,
4hki,,2wvt,
4hkk,,5e7r,
2fjn,,6f1j,
2fjp,,5y6d,
2fkf,,5aei,
2fky,,5yft,
2fl2,,5f41,
2fl5,,5mnx,
2fl6,,5mz3,
2flb,,5id0,
2flh,,6fmf,
2flu,,5f08,
2fm0,,6j8q,
2fm2,,6g0v,
2fm5,,6d1k,
2fme,,5yc3,
2fo4,,5kgw,
2fou,,6gvi,
2fov,,5ayf,
2foy,,6hth,
2fq6,,5v24,
2fr3,,5ih8,
2fr8,,5dp5,
2frd,,6nwc,
2fs8,,5wi0,
2fs9,,5f1c,
2fsa,,5q0i,
2fsv,,5g1p,
2ftd,,6oir,
2fts,,5eh8,
2fum,,5uac,
2fuu,,6dxl,
2fv5,,5nxg,
2fv9,,6cse,
2fvc,,6dqa,
2fw3,,6ufo,
2fwp,,4mme,
1f0q,,6q5b,
1f1j,,5o1f,
1f28,,6pt3,
1f2o,,5hn9,
1f2p,,5koq,
1f3j,,5eg4,
1f40,,6g2n,
1f47,,6oi8,
1f4y,,1f8d,
1f7b,,4owm,
1f8a,,5trh,
1f90,,6r1x,
1f92,,6u80,
1f9e,,5yyb,
1f9g,,6r4s,
1fax,,5l2t,
1fbm,,5h5f,
1fd7,,6prg,
1fdq,,5u4x,
1fe3,,6c9r,
1ff1,,5ult,
1fgi,,6d4s,
1fhr,,5wr7,
1fig,,5tyr,
1fj4,,6pvs,
1fl6,,6ccm,
1flm,,5nba,
1fls,,5j74,
1fmb,,6mvx,
1fo2,,6ma5,
1fo3,,5svx,
1fpi,,6mji,
1fpp,,5o9o,
1fpy,,5ia0,
3twj,,5qcn,
3twr,,5oua,
3tws,,5wik,
3twu,,6hhj,
3twv,,6if0,
3tww,,5o5a,
3twx,,5xaf,
3txo,,6mhd,
3ty0,,6dkp,
3tyq,,5jar,
3tyv,,6nri,
3tz2,,5j3l,
3tz4,,6s55,
3tzd,,5jk3,
3u0d,,6h1u,
3u0p,,5u6b,
3u0t,,5wex,
3u18,,6tl2,
3u1i,,5nap,
3u1y,,5c4k,
3u2k,,6skd,
3u2q,,5a6x,
3u3f,,3fv1,
3u3z,,5od1,
3u4h,,5mkz,
3u4i,,4ydg,
3u4o,,6ra1,
3u4r,,5oq5,
3u4u,,5g1a,
3u4w,,6b5t,
3u51,,5nkn,
3u6a,,5jq8,
3u6j,,6me5,
3u6w,,5mih,
3u78,,5faq,
3u8d,,6i8m,
3u8h,,5v6u,
3u8m,,6ps4,
3u8w,,5wf3,
1owj,,5g1n,
1owk,,5db2,
1ox9,,6ijl,
1oxg,,6erw,
1oxn,,5l3f,
1oxq,,5hh6,
1oy7,,6mj4,
1oyn,,5vdw,
1ozv,,5fhn,
1p01,,6aad,
1p02,,1ydr,
1p03,,6ow7,
1p04,,5n49,
1p05,,6ehh,
1p06,,6d1x,
1p0y,,5cei,
1p10,,5ggp,
1p17,,6fzf,
1p28,,3arq,
1p2a,,5l6p,
1p2g,,4jsz,
1p4r,,6fc6,
3pa4,,6frf,
3pa5,,6iiu,
3pa8,,5mmg,
3pab,,6qtw,
3pax,,6das,
3pb3,,5za1,
3pcb,,5u28,
3pcc,,6gjw,
3pch,,5abw,
3pcu,,6ht8,
3pd2,,5a8y,
3pd3,,6bu1,
3pd4,,5qa6,
3pdc,,5i13,
3pdh,,5urk,
3pdq,,6n7z,
3peq,,6ffg,
3phe,,5zz4,
3pi5,,5fi6,
3pix,,5isz,
3piy,,6bky,
3piz,,5xo2,
3pj1,,6hm4,
3pj2,,5vqw,
3pj3,,5cu4,
3pj8,,5ko1,
3pjc,,5drs,
3pjg,,5hpm,
3pjt,,5m7s,
3pka,,3nq3,
3pkb,,5hjc,
3pkc,,5xzr,
3pkd,,5vo1,
3pke,,6d3q,
3pkn,,5amn,
3plu,,4zs9,
3pm1,,4muf,
4lwc,,5zml,
4lwt,,5yib,
4lwu,,5nya,
4lwv,,3gv9,
4lww,,5km9,
4lxa,,6b1x,
4lxb,,6mo7,
4lxk,,5oui,
4lxm,,3gy4,
4lyn,,4z0u,
4lys,,5h0g,
4m1d,,6pyd,
4m1j,,5uwi,
4m3b,,5nb7,
4m3d,,5t8j,
4m3e,,6i74,
4m3f,,5g4n,
4m3g,,6qlq,
4m3m,,6ced,
4m3q,,5ek9,
4m48,,6mnc,
4m4q,,5g0q,
4qc1,,5ul1,
4qfg,,6fgc,
4qfr,,6huq,
4qfs,,5tci,
4qg7,,5m4u,
4qga,,5m6m,
4qgf,,6c3n,
4qgg,,5zvw,
4qgh,,1f8c,
4qh7,,5eml,
4qh8,,6r8p,
4qhp,,5f3g,
4qht,,5os8,
4qip,,6isd,
4qir,,5kgn,
4qjr,,5ngz,
4qk4,,5tur,
4qkd,,6oxx,
4qkx,,1hfs,
4qlq,,6ezi,
4qls,,5i43,
4qlt,,5iha,
4zz2,,5lmb,
4zz3,,5u0e,
5a00,,5ier,
5a0e,,6g47,
5a14,,6fvm,
5a2j,,6qe5,
5a2k,,6g24,
5a3h,,6azk,
5a3o,,6cj1,
5a3u,,5op8,
5a46,,6gev,
5a4c,,5cgv,
5a5o,,6e5x,
5a5p,,5om9,
5a5r,,6oqd,
5a5s,,5lss,
5a5z,,4ze6,
5a6n,,5f61,
5a82,,5j7q,
5a83,,5ty8,
5a85,,6jjz,
5aad,,6a04,
5aae,,3b3s,
5aaf,,6p9e,
2q6b,,5wkl,
2q6c,,5g5v,
2q6h,,5igm,
2q70,,6g4y,
2q72,,6f7i,
2q7m,,6biy,
2q7o,,6af9,
2q7u,,5lvd,
2q80,,5lz4,
2q8g,,6r1w,
2q8i,,6gu3,
2q8s,,6i75,
2q8y,,6d3y,
2q92,,6iup,
2q93,,5htb,
2q94,,6h14,
2q95,,5z5f,
2q96,,5f6d,
2q9m,,6agt,
2q9n,,6ow2,
2q9y,,5ehp,
2qa8,,6agk,
2qaf,,6fne,
2qbx,,5nqe,
2qc6,,6awo,
2qcd,,6n97,
2qcf,,6ott,
2qcg,,5yzd,
2qch,,5u4g,
2qcm,,6fqu,
2qcn,,5cxa,
2qd9,,4xtm,
2qe2,,5hf1,
2qe5,,5uv1,
2qf6,,5enm,
2qh6,,6eg9,
2qhc,,5nx9,
2qhm,,5ugd,
2qhn,,5ayy,
1unh,,4kz6,
1unl,,6cve,
1uod,,4z7o,
1uom,,5zuj,
1upk,,6pvv,
1urc,,6fqo,
1urg,,6g9a,
1urw,,6mlf,
1utc,,6cj5,
1uti,,6e5t,
1utp,,5l98,
1utr,,6hm1,
1utt,,5vqv,
1utz,,5jjm,
1uu3,,3u8n,
1uu7,,5t54,
1uu8,,5tq1,
1uu9,,5m44,
1uv5,,6bj3,
1uvr,,1f8b,
1uvs,,6k3l,
1uvu,,5fsx,
1uwb,,6bbx,
1uwh,,6cf7,
1ux7,,4yhp,
1uxa,,1os0,
1uxb,,6dyo,
1uy6,,5ewh,
1uy7,,6v1c,
1uy8,,6arv,
1uy9,,5m4k,
1uyc,,6s0e,
2y4a,,5zqr,
2y4k,,6bmr,
2y4l,,6azl,
2y4m,,5tob,
2y4s,,6p5w,
2y54,,4zw7,
2y55,,6i8z,
2y56,,5kdf,
2y57,,5dbm,
2y58,,4zy0,
2y59,,5y12,
2y5k,,6eip,
2y5l,,5owc,
2y67,,4jxs,
2y68,,6er3,
2y6c,,6beh,
2y6d,,5uqx,
2y6o,,6bik,
2y6s,,5i23,
2y71,,5nvx,
2y76,,5op4,
2y77,,5doh,
2y7k,,5fum,
2y7w,,6f4n,
2y8i,,5nw7,
2y8l,,5wj6,
3fcf,,5nn6,
3fci,,5wuu,
3fck,,6cks,
3fcl,,6e7j,
3fdm,,6qgf,
3fdn,,5km3,
3fdt,,5npd,
3fe7,,5ul6,
3fea,,6mm2,
3feg,,4qmu,
3fei,,5cqt,
3fej,,5hn8,
3ff6,,5anq,
3ffu,,5mt4,
3fgc,,6qgh,
3fh5,,6ugr,
3fh8,,5yqo,
3fhe,,6c7d,
3fhr,,6abk,
3fi2,,5qad,
3fi3,,2ndo,
3fkt,,6cmr,
3fkv,,5d3c,
3fl8,,4r6e,
3fl9,,6byz,
3fmq,,4xhe,
3fmr,,5dp9,
3fmz,,5ep7,
3fn0,,6min,
3bar,,2gss,
3bb1,,6bcy,
3bbt,,6n3n,
3bc3,,5elq,
3bc4,,6c9q,
3bc5,,6jsg,
3bcn,,6o50,
3bcs,,5kr8,
3be2,,6i5y,
3bea,,5w1e,
3bel,,5m39,
3bet,,5g42,
3bg8,,5t78,
3bgl,,5wvd,
3bgm,,6e2n,
3bgp,,5yto,
3bh3,,5z95,
3bh8,,6eeo,
3bh9,,5os0,
3bhb,,5eb3,
3bho,,6csr,
3bhx,,5vrp,
3bi0,,1eby,
3bi1,,5sz6,
3kqa,,6gvf,
3kqb,,5npf,
3kqc,,6gr7,
3kqd,,6n92,
3kqe,,5vd2,
3kqm,,5ypy,
3kqo,,5jau,
3kqp,,5edd,
3kqs,,5zu0,
3kqt,,5tyk,
3kqw,,6jb4,
3kqy,,3acw,
3kr0,,5q0n,
3kr1,,5f2u,
3kr2,,5jz9,
3kr5,,6avi,
3krd,,5yid,
3krj,,6gdy,
3krl,,6bhv,
3krr,,5exm,
3krw,,5vdk,
3krx,,6r7r,
3kry,,5uz0,
3ksl,,5tho,
3ksq,,5ygd,
3ktr,,5l2z,
3kvw,,5v3o,
3kvx,,6rni,
3kw9,,5wf6,
3kwb,,6ibk,
3kwf,,5ovv,
3kwj,,5f3i,
3kwn,,6fby,
3kwz,,5oxk,
3kx1,,5t2g,
2ien,,5a4q,
2ieo,,6nrh,
2ig0,,6oja,
2igw,,4wiv,
2igx,,6buv,
2igy,,5qao,
2iit,,5vt1,
2iiv,,5mwy,
2iku,,6imb,
2ilp,,5hz8,
2ima,,5ypo,
2imb,,5duf,
2imd,,6f0y,
2in6,,5x8i,
2io6,,6ic0,
2ioa,,5ugm,
2iog,,5mys,
2iok,,5flt,
2ipo,,5mby,
2iqg,,5dts,
2irz,,5zw6,
2is0,,6hs0,
2isc,,2n27,
2isv,,5eud,
2it4,,6aum,
2itk,,5kqg,
2ito,,5q1g,
2itp,,5l8t,
2itt,,6hv7,
2ity,,6eh2,
2itz,,6arn,
2iu0,,5f2f,
2iv9,,5wbk,
2ivu,,6axl,
2ivz,,6o9d,
2iw6,,5f60,
2iw8,,6jdl,
4d2s,,6hgx,
4d2t,,6fa3,
4d2v,,5hex,
4d2w,,6i3u,
4d52,,5ivy,
4d62,,6p8x,
4d63,,5tyi,
4d83,,5b2d,
4d85,,6oe3,
4d88,,6q7w,
4d89,,5lhh,
4d8a,,5w4w,
4d8c,,5fdp,
4d8e,,5mjb,
4d8i,,5u7k,
4d8n,,2qft,
4d8s,,5nge,
4d9p,,5vkc,
4dai,,5ety,
4daw,,5jim,
4dbn,,5hh5,
3v3b,,5o0a,
3v3m,,5nxx,
3v3v,,5qan,
3v43,,6n53,
3v49,,6m8e,
3v4j,,6h7l,
3v4v,,5nkh,
3v4x,,6iou,
3v5g,,6o95,
3v5j,,5i2r,
3v5l,,5yea,
3v5q,,6cus,
3v66,,6qlu,
3v6r,,5n69,
3v6s,,2xnb,
